duration,protocol_type,service,flag,src_bytes,dst_bytes,category,source
0.0,tcp,ftp_data,sf,491.0,0.0,Normal,basic
0.0,udp,other,sf,146.0,0.0,Normal,basic
0.0,tcp,private,s0,0.0,0.0,DoS,basic
0.0,tcp,http,sf,232.0,8153.0,Normal,basic
0.0,tcp,http,sf,199.0,420.0,Normal,basic
0.0,tcp,private,rej,0.0,0.0,DoS,basic
0.0,tcp,remote_job,s0,0.0,0.0,DoS,basic
0.0,tcp,http,sf,287.0,2251.0,Normal,basic
0.0,tcp,ftp_data,sf,334.0,0.0,R2L,basic
0.0,tcp,name,s0,0.0,0.0,DoS,basic
0.0,tcp,netbios_ns,s0,0.0,0.0,DoS,basic
0.0,tcp,http,sf,300.0,13788.0,Normal,basic
0.0,icmp,eco_i,sf,18.0,0.0,Probe,basic
0.0,tcp,http,sf,233.0,616.0,Normal,basic
0.0,tcp,http,sf,343.0,1178.0,Normal,basic
0.0,tcp,mtp,s0,0.0,0.0,DoS,basic
0.0,tcp,http,sf,253.0,11905.0,Normal,basic
5607.0,udp,other,sf,147.0,105.0,Normal,basic
507.0,tcp,telnet,sf,437.0,14421.0,Normal,basic
0.0,tcp,http,sf,227.0,6588.0,Normal,basic
0.0,tcp,http,sf,215.0,10499.0,Normal,basic
0.0,tcp,http,sf,241.0,1400.0,Normal,basic
0.0,icmp,eco_i,sf,8.0,0.0,Probe,basic
0.0,tcp,finger,s0,0.0,0.0,DoS,basic
0.0,tcp,http,sf,303.0,555.0,Normal,basic
0.0,tcp,private,rej,0.0,0.0,Probe,basic
0.0,udp,domain_u,sf,45.0,45.0,Normal,basic
1.0,udp,private,sf,105.0,147.0,Normal,basic
0.0,udp,domain_u,sf,43.0,43.0,Normal,basic
0.0,tcp,supdup,s0,0.0,0.0,DoS,basic
0.0,tcp,http,sf,324.0,2302.0,Normal,basic
0.0,tcp,uucp_path,s0,0.0,0.0,DoS,basic
0.0,tcp,ftp_data,s0,0.0,0.0,DoS,basic
0.0,tcp,z39_50,s0,0.0,0.0,DoS,basic
2.0,tcp,smtp,sf,1591.0,372.0,Normal,basic
9052.0,udp,other,sf,146.0,105.0,Normal,basic
0.0,tcp,http,sf,290.0,3006.0,Normal,basic
0.0,tcp,csnet_ns,s0,0.0,0.0,DoS,basic
0.0,udp,private,sf,28.0,0.0,DoS,basic
0.0,tcp,http,sf,255.0,861.0,Normal,basic
0.0,tcp,http,sf,302.0,498.0,Normal,basic
0.0,tcp,http,sf,220.0,1398.0,Normal,basic
0.0,udp,domain_u,sf,43.0,69.0,Normal,basic
0.0,udp,domain_u,sf,44.0,133.0,Normal,basic
0.0,tcp,uucp,s0,0.0,0.0,DoS,basic
0.0,tcp,ftp_data,sf,641.0,0.0,Normal,basic
0.0,tcp,http,sf,310.0,2794.0,Normal,basic
0.0,tcp,smtp,sf,696.0,333.0,Normal,basic
0.0,tcp,netbios_dgm,rstr,0.0,0.0,Probe,basic
